word	 closest_word	 actual_dim	 actual_sim	 redu_dim	 Firstn_method_1	 Lastn_method_1	 Rand_method_2	 avgWordMethod	 Mean_method_3	
shake	milkshake	400	0.62570202	396.0	0.6248818	0.6299929	0.62649918	0.6299929322072253	0.61938155
shake	shakes	400	0.52460599	396.0	0.52328497	0.52573574	0.52294034	0.52573577409782057	0.52634424
shake	loganberry	400	0.51832759	396.0	0.51431906	0.51853418	0.51853418	0.51853409735323086	0.50096118
shake	oreo	400	0.49599835	396.0	0.49252531	0.49731597	0.49711776	0.49731607414985379	0.51157784
shake	nutella	400	0.48685259	396.0	0.4836517	0.48815113	0.48884848	0.48815110448654481	0.48555833
shake	krumble	400	0.47131661	396.0	0.46899891	0.47111821	0.46852168	0.47111823605581593	0.50879723
shake	peppermint	400	0.46873322	396.0	0.46616557	0.47661966	0.47635087	0.47661973491547754	0.47678038
shake	mcflurry	400	0.4614732	396.0	0.46422783	0.46211427	0.46419141	0.46211441482479404	0.47342512
shake	frap	400	0.45898771	396.0	0.4563919	0.46170068	0.45517483	0.46170074741129968	0.45927057
shake	oreos	400	0.4565087	396.0	0.45357218	0.4577553	0.45310113	0.45775528016480399	0.47968847
drinks	drink	400	0.67874545	396.0	0.67245543	0.68006641	0.68006641	0.6800664087491306	0.69027483
drinks	cocktails	400	0.56420618	396.0	0.56004757	0.56356257	0.55654424	0.56356268907950413	0.59262276
drinks	beverages	400	0.51363146	396.0	0.51274937	0.51150519	0.51154447	0.51150522838996149	0.50145686
drinks	waters	400	0.4931078	396.0	0.48917565	0.49993387	0.49395618	0.49993388782704129	0.49496114
drinks	nonalcoholic	400	0.47577909	396.0	0.46872547	0.4762769	0.47631201	0.47627704280203703	0.49135485
drinks	martinis	400	0.4544763	396.0	0.44790861	0.45027325	0.44636756	0.45027330564727458	0.49376413
drinks	booze	400	0.45278871	396.0	0.45536867	0.45926711	0.46014264	0.45926718314698323	0.43289074
drinks	margaritas	400	0.44795904	396.0	0.44275317	0.44353357	0.4406732	0.4435335370466596	0.44810402
drinks	pitchers	400	0.43755499	396.0	0.43472147	0.4375703	0.43756694	0.43757030313198736	0.45361817
drinks	beverage	400	0.43527973	396.0	0.42561823	0.43454438	0.42863247	0.4345443602963347	0.43767455
milkshake	drink	400	0.1900617	396.0	0.2052668	0.18622109	0.18699197	0.18622112473619012	0.19581544
shakes	cocktails	400	0.19191103	396.0	0.18356974	0.19814602	0.19105187	0.19814599699882776	0.18009159
loganberry	beverages	400	0.11504672	396.0	0.12423776	0.1165868	0.12163348	0.1165867815909971	0.10549432
oreo	waters	400	0.043565314	396.0	0.051458213	0.038188886	0.034168128	0.038188882777727078	0.023687596
nutella	nonalcoholic	400	0.14041263	396.0	0.14147975	0.14250712	0.14384295	0.14250712686941525	0.15843277
krumble	martinis	400	0.070600905	396.0	0.068969697	0.079990573	0.069849245	0.079990577710616226	0.062632188
peppermint	booze	400	0.13306361	396.0	0.13701755	0.14547153	0.13415742	0.14547151123209059	0.14569981
mcflurry	margaritas	400	0.078476541	396.0	0.07158868	0.083836198	0.07986673	0.083836189723053831	0.12574993
frap	pitchers	400	0.14941977	396.0	0.14743926	0.15147755	0.15155458	0.15147756346751548	0.13370405
oreos	beverage	400	0.049756452	396.0	0.066022575	0.041702755	0.058932871	0.041702764497496762	0.079070121
