,review,category,AMBIENCE#GENERAL,DRINKS#PRICES,DRINKS#QUALITY,DRINKS#STYLE_OPTIONS,FOOD#PRICES,FOOD#QUALITY,FOOD#STYLE_OPTIONS,LOCATION#GENERAL,RESTAURANT#GENERAL,RESTAURANT#MISCELLANEOUS,RESTAURANT#PRICES,SERVICE#GENERAL
0,Yum!,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
1,Serves really good sushi.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
2,Not the biggest portions but adequate.,FOOD#STYLE_OPTIONS,0,0,0,0,0,0,1,0,0,0,0,0
3,Green Tea creme brulee is a must!,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
4,Don't leave the restaurant without it.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
5,No Comparison,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
6,– I can't say enough about this place.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
7,It has great sushi and even better service.,FOOD#QUALITY*SERVICE#GENERAL,0,0,0,0,0,1,0,0,0,0,0,1
8,The entire staff was extremely accomodating and tended to my every need.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
9,I've been to this restaurant over a dozen times with no complaints to date.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
10,Snotty Attitude,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
11,– We were treated very rudely here one time for breakfast.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
12,The owner is belligerent to guests that have a complaint.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
13,Good food!,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
14,This is a great place to get a delicious meal.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
15,We never had to wait more than 5 minutes.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
